iter	Passed	Remaining
1293	8489	57119
1294	8495	57106
1295	8501	57097
1296	8507	57088
1297	8514	57079
1298	8520	57072
1299	8526	57060
1300	8532	57052
1301	8538	57043
1302	8544	57032
1303	8550	57024
1304	8557	57016
1305	8563	57009
1306	8570	57006
1307	8577	57000
1308	8583	56989
1309	8589	56980
1310	8597	56982
1311	8604	56976
1312	8611	56978
1313	8618	56973
1314	8625	56967
1315	8632	56966
1316	8638	56956
1317	8644	56944
1318	8650	56932
1319	8656	56920
1320	8662	56913
1321	8669	56908
1322	8675	56901
1323	8682	56895
1324	8688	56885
1325	8695	56878
1326	8701	56872
1327	8708	56864
1328	8714	56859
1329	8721	56853
1330	8728	56850
1331	8734	56842
1332	8740	56832
1333	8747	56827
1334	8754	56822
1335	8761	56819
1336	8767	56808
1337	8773	56801
1338	8780	56796
1339	8787	56790
1340	8794	56785
1341	8801	56780
1342	8808	56777
1343	8814	56770
1344	8820	56759
1345	8826	56751
1346	8833	56743
1347	8839	56737
1348	8846	56731
1349	8852	56722
1350	8859	56718
1351	8866	56710
1352	8872	56702
1353	8879	56699
1354	8885	56693
1355	8893	56690
1356	8899	56684
1357	8906	56677
1358	8912	56671
1359	8919	56662
1360	8926	56658
1361	8932	56653
1362	8939	56644
1363	8945	56635
1364	8952	56632
1365	8959	56631
1366	8966	56625
1367	8973	56619
1368	8979	56609
1369	8984	56598
1370	8991	56589
1371	8997	56582
1372	9003	56569
1373	9009	56559
1374	9015	56549
1375	9021	56543
1376	9027	56533
1377	9034	56528
1378	9040	56520
1379	9046	56510
1380	9053	56504
1381	9059	56494
1382	9066	56488
1383	9072	56482
1384	9080	56481
1385	9086	56472
1386	9092	56463
1387	9098	56454
1388	9104	56442
1389	9110	56430
1390	9117	56430
1391	9124	56424
1392	9131	56420
1393	9137	56412
1394	9143	56403
1395	9150	56395
1396	9156	56386
1397	9162	56377
1398	9169	56371
1399	9174	56360
1400	9181	56354
1401	9187	56346
1402	9194	56338
1403	9200	56328
1404	9206	56322
1405	9212	56309
1406	9218	56301
1407	9225	56293
1408	9230	56282
1409	9237	56275
1410	9243	56269
1411	9251	56270
1412	9258	56267
1413	9265	56259
1414	9271	56250
1415	9278	56245
1416	9285	56246
1417	9292	56240
1418	9299	56234
1419	9306	56229
1420	9313	56226
1421	9319	56219
1422	9326	56214
1423	9333	56208
1424	9339	56201
1425	9345	56192
1426	9351	56182
1427	9357	56173
1428	9364	56167
1429	9370	56157
1430	9377	56155
1431	9384	56150
1432	9392	56151
1433	9399	56148
1434	9406	56142
1435	9412	56137
1436	9419	56129
1437	9426	56123
1438	9432	56115
1439	9439	56111
1440	9446	56106
1441	9453	56102
1442	9459	56096
1443	9466	56089
1444	9473	56087
1445	9480	56082
1446	9487	56077
1447	9494	56075
1448	9501	56069
1449	9508	56066
1450	9514	56059
1451	9521	56053
1452	9528	56048
1453	9534	56039
1454	9541	56035
1455	9547	56026
1456	9554	56020
1457	9560	56014
1458	9567	56006
1459	9574	56006
1460	9582	56005
1461	9589	56004
1462	9597	56003
1463	9604	56001
1464	9611	55994
1465	9617	55988
1466	9624	55982
1467	9631	55975
1468	9638	55974
1469	9644	55964
1470	9650	55956
1471	9657	55947
1472	9663	55943
1473	9671	55940
1474	9677	55933
1475	9684	55930
1476	9691	55924
1477	9698	55918
1478	9704	55912
1479	9711	55906
1480	9717	55898
1481	9724	55893
1482	9731	55886
1483	9738	55882
1484	9744	55874
1485	9751	55873
1486	9759	55870
1487	9765	55864
1488	9773	55862
1489	9780	55858
1490	9786	55848
1491	9793	55846
1492	9800	55841
1493	9807	55836
1494	9813	55827
1495	9819	55819
1496	9826	55812
1497	9832	55804
1498	9838	55793
1499	9844	55782
1500	9850	55773
